pr_number,pr_title,author,repository,merged_at,code_review_passed,status_checks_passed,is_compliant
159824,vesync switch to async_write_ha_state,cdnninja,home-assistant/core,2025-12-28T08:48:14.000000+0000,true,true,true
159803,Bump pypck to 0.9.9,alengwenus,home-assistant/core,2025-12-27T16:11:03.000000+0000,true,true,true
159787,Fix translations for lamarzocco bbw numbers,zweckj,home-assistant/core,2025-12-27T17:55:16.000000+0000,true,true,true
159780,Bump plugwise to v1.11.2,bouwew,home-assistant/core,2025-12-27T11:09:18.000000+0000,true,true,true
159779,Exceptions during Sonos Unjoin action results in hung script,PeteRager,home-assistant/core,2025-12-26T19:20:12.000000+0000,true,true,true
159776,kostal_plenticore: Add state_class to Battery SoC sensor,rauberdaniel,home-assistant/core,2025-12-26T19:31:47.000000+0000,true,true,true
159773,Assignment 2: Timer component impact analysis,AnvarKhudoiev,home-assistant/core,,false,false,false
159760,Fix HikCamera.get_event_triggers() call with incorrect argument,ptarjan,home-assistant/core,2025-12-26T10:33:53.000000+0000,true,true,true
159758,Add integration type hub to Xiaomi Home,tr4nt0r,home-assistant/core,2025-12-26T10:25:38.000000+0000,true,true,true
159757,Add integration type hub to Google Cast,tr4nt0r,home-assistant/core,2025-12-26T10:26:31.000000+0000,true,true,true
159824,vesync switch to async_write_ha_state,cdnninja,home-assistant/core,2025-12-28T08:48:14.000000+0000,true,true,true
159780,Bump plugwise to v1.11.2,bouwew,home-assistant/core,2025-12-27T11:09:18.000000+0000,true,true,true
159787,Fix translations for lamarzocco bbw numbers,zweckj,home-assistant/core,2025-12-27T17:55:16.000000+0000,true,true,true
159803,Bump pypck to 0.9.9,alengwenus,home-assistant/core,2025-12-27T16:11:03.000000+0000,true,true,true
159779,Exceptions during Sonos Unjoin action results in hung script,PeteRager,home-assistant/core,2025-12-26T19:20:12.000000+0000,true,true,true
159776,kostal_plenticore: Add state_class to Battery SoC sensor,rauberdaniel,home-assistant/core,2025-12-26T19:31:47.000000+0000,true,true,true
159773,Assignment 2: Timer component impact analysis,AnvarKhudoiev,home-assistant/core,,false,false,false
159760,Fix HikCamera.get_event_triggers() call with incorrect argument,ptarjan,home-assistant/core,2025-12-26T10:33:53.000000+0000,true,true,true
159758,Add integration type hub to Xiaomi Home,tr4nt0r,home-assistant/core,2025-12-26T10:25:38.000000+0000,true,true,true
159757,Add integration type hub to Google Cast,tr4nt0r,home-assistant/core,2025-12-26T10:26:31.000000+0000,true,true,true
159756,Add state_class to Nuki battery sensor,victor-gurbani,home-assistant/core,2025-12-26T09:37:16.000000+0000,true,true,true
159752,Address reviewer feedback on exception handling in hikvision,ptarjan,home-assistant/core,2025-12-27T10:13:53.000000+0000,true,true,true
159750,Support Shelly wave shutter with firmware 14.2.0 in Z-Wave,blob810,home-assistant/core,2025-12-27T10:12:02.000000+0000,true,true,true
159748,Update knx-frontend to 2025.12.25.200238,farmio,home-assistant/core,2025-12-27T11:12:17.000000+0000,true,true,true
159734,Bump tuya-device-sharing-sdk to 0.2.7,shihuimiao,home-assistant/core,2025-12-25T10:53:56.000000+0000,true,true,true
159728,Tidy up various Huawei LTE sensor values for display,scop,home-assistant/core,2025-12-25T12:15:06.000000+0000,true,true,true
159721,Update govee-local-api 2.3.0,Galorhallen,home-assistant/core,2025-12-24T20:47:29.000000+0000,true,true,true
159719,Start reauth when roborock notices the MQTT session is unauthorized,allenporter,home-assistant/core,2025-12-25T20:47:43.000000+0000,true,true,true
159713,Assignment 2 Wan Ahmad Lutfi: Impact Analysis - Automation Component Call Graph,PinkyP17,home-assistant/core,,false,false,false
159718,Fix Roborock repair issue behavior,allenporter,home-assistant/core,2025-12-24T19:00:36.000000+0000,true,true,true
159710,Add support for switchbot art frame,zerzhang,home-assistant/core,2025-12-25T12:50:47.000000+0000,true,true,true
159706,Add integration_type hub to nest,joostlek,home-assistant/core,2025-12-24T12:47:57.000000+0000,true,true,true
159705,Add integration_type hub to neato,joostlek,home-assistant/core,2025-12-25T12:51:19.000000+0000,true,true,true
159704,Add integration_type device to nanoleaf,joostlek,home-assistant/core,2025-12-25T12:51:48.000000+0000,true,true,true
159703,Add integration_type device to mystrom,joostlek,home-assistant/core,2025-12-25T12:52:33.000000+0000,true,true,true
159702,Add integration_type hub to mysensors,joostlek,home-assistant/core,2025-12-24T18:54:57.000000+0000,true,true,true
159701,Add integration_type service to mutesync,joostlek,home-assistant/core,2025-12-25T12:53:33.000000+0000,true,true,true
159700,Add integration_type service to mullvad,joostlek,home-assistant/core,2025-12-24T12:50:35.000000+0000,true,true,true
159699,Add integration_type device to mpd,joostlek,home-assistant/core,2025-12-25T12:53:21.000000+0000,true,true,true
159698,Add integration_type hub to motioneye,joostlek,home-assistant/core,2025-12-25T20:54:32.000000+0000,true,true,true
159697,Add integration_type service to monzo,joostlek,home-assistant/core,2025-12-25T20:52:54.000000+0000,true,true,true
159696,Add integration_type hub to monoprice,joostlek,home-assistant/core,2025-12-25T20:50:03.000000+0000,true,true,true
159695,Add integration_type service to monarch_money,joostlek,home-assistant/core,2025-12-25T20:50:18.000000+0000,true,true,true
159694,Add integration_type hub to moehlenhoff_alpha2,joostlek,home-assistant/core,2025-12-25T20:56:55.000000+0000,true,true,true
159692,Add integration_type service to minecraft_server,joostlek,home-assistant/core,2025-12-24T12:50:02.000000+0000,true,true,true
159691,Add integration_type device to mikrotik,joostlek,home-assistant/core,2025-12-25T20:52:37.000000+0000,true,true,true
159690,Add integration_type hub to microbees,joostlek,home-assistant/core,2025-12-25T20:53:25.000000+0000,true,true,true
159693,Add integration_type device to moat,joostlek,home-assistant/core,2025-12-25T20:48:54.000000+0000,true,true,true
159688,Fix inels config flow tests,farmio,home-assistant/core,2025-12-24T11:08:20.000000+0000,true,true,true
159685,Bump pySwitchbot to 0.75.0,zerzhang,home-assistant/core,2025-12-24T10:57:50.000000+0000,true,true,true
159684,Fix anglian water test snapshot,farmio,home-assistant/core,2025-12-24T11:10:34.000000+0000,true,true,true
159682,Fix display of target_humidity in Huum,vincentwolsink,home-assistant/core,,false,true,false
159683,Fix display of target_humidity in Huum,vincentwolsink,home-assistant/core,2025-12-24T12:49:31.000000+0000,true,true,true
159681,Bump bthome-ble to 3.17.0,dafal,home-assistant/core,2025-12-24T10:53:49.000000+0000,true,true,true
159678,Update knx-frontend to 2025.12.24.74016,farmio,home-assistant/core,2025-12-24T11:51:55.000000+0000,true,true,true
159649,Bump reolink_aio to 0.18.0,starkillerOG,home-assistant/core,2025-12-23T18:24:24.000000+0000,true,true,true
159664,Bump aioesphomeapi to 43.6.0,bdraco,home-assistant/core,2025-12-24T23:28:36.000000+0000,true,true,true
159660,Bump python-roborock to 3.21.1,allenporter,home-assistant/core,2025-12-24T17:27:42.000000+0000,true,true,true
159647,Bump reolink_aio to 0.18.0,starkillerOG,home-assistant/core,,false,true,false
159638,Bump pysmarlaapi to 0.9.3,rlint-explicatis,home-assistant/core,2025-12-23T14:27:10.000000+0000,true,true,true
159637,Add config flow for external ESPHome Dashboard URL,RaHehl,home-assistant/core,,false,false,false
159631,"Revert ""Exempt pyparsing from license check (#159605)""",cdce8p,home-assistant/core,2025-12-23T10:58:56.000000+0000,true,true,true
159635,Bump pysmarlaapi to 0.9.3,rlint-explicatis,home-assistant/core,,false,true,false
159621,Bump python-roborock to 3.20.1,allenporter,home-assistant/core,2025-12-23T10:59:48.000000+0000,true,true,true
159617,Bump teslemetry-stream to 0.9.0,Bre77,home-assistant/core,2025-12-23T01:21:43.000000+0000,true,true,true
159615,Fix allowlist dir requirement in download file handling for Telegram bot,aviadlevy,home-assistant/core,2025-12-22T23:09:00.000000+0000,true,true,true
159612,Do not create Huawei LTE sensors having None values,scop,home-assistant/core,2025-12-23T12:31:07.000000+0000,true,true,true
159611,Huawei LTE sensor dynamic icon improvements,scop,home-assistant/core,2025-12-23T22:46:16.000000+0000,true,true,true
159608,Add binary sensors to Saunum integration,mettolen,home-assistant/core,2025-12-23T12:35:27.000000+0000,true,true,true
159600,Refactor Velbus sensors,cereal2nd,home-assistant/core,2025-12-23T12:52:08.000000+0000,true,true,true
159604,Bump axis to v66 fixing an issue with latest xmltodict,Kane610,home-assistant/core,2025-12-22T21:51:44.000000+0000,true,true,true
159596,Handle auth errors in velux integration and add reauth flow,wollew,home-assistant/core,2025-12-23T13:11:40.000000+0000,true,true,true
159605,Exempt pyparsing from license check,TheJulianJES,home-assistant/core,2025-12-22T17:47:02.000000+0000,true,true,true
159595,Add number entity to Airobot integration,mettolen,home-assistant/core,2025-12-23T12:33:46.000000+0000,true,true,true
159594,Fix Ecoforest unknown alarm translation key,maylikenoother,home-assistant/core,2025-12-22T20:08:27.000000+0000,true,true,true
159592,Fix test name typo (trailing underscore),maylikenoother,home-assistant/core,2025-12-22T20:16:01.000000+0000,true,true,true
159593,Bump uiprotect to 7.33.3,RaHehl,home-assistant/core,2025-12-22T16:44:18.000000+0000,true,true,true
159587,Bump yolink-api to 0.5.9,matrixd2,home-assistant/core,2025-12-22T13:19:04.000000+0000,true,true,true
159591,Fix typo in test names (exception),maylikenoother,home-assistant/core,2025-12-22T20:21:37.000000+0000,true,true,true
159585,raise HomeAssistantError when velux gateway reboot fails,wollew,home-assistant/core,2025-12-23T12:41:50.000000+0000,true,false,false
159581,Clean up docstring copied word typo,rpatterson,home-assistant/core,2025-12-22T20:04:45.000000+0000,true,true,true
159583,Velbus make sure the services throw exceptions,cereal2nd,home-assistant/core,2025-12-23T12:39:16.000000+0000,true,true,true
159578,Bump valbusaio to 2025.12.0,cereal2nd,home-assistant/core,2025-12-22T13:44:46.000000+0000,true,true,true
159577,Bump docker/setup-buildx-action from 3.11.1 to 3.12.0,dependabot[bot],home-assistant/core,2025-12-22T08:04:02.000000+0000,true,true,true
159557,Bump melissa to 3.0.3,kennedyshead,home-assistant/core,2025-12-22T08:08:03.000000+0000,true,true,true
159571,Bump pynintendoparental to 2.3.0,pantherale0,home-assistant/core,2025-12-22T20:05:10.000000+0000,true,true,true
159549,Correct spelling of property,brefra,home-assistant/core,2025-12-21T20:22:28.000000+0000,true,true,true
159546,Redact additional unnecessary diagnostic fields,allenporter,home-assistant/core,2025-12-21T17:50:51.000000+0000,true,true,true
159533,Add solar production sensors to neurio_energy,W7RZL,home-assistant/core,2025-12-23T19:26:43.000000+0000,true,true,true
159529,Change integration type to hub in PlayStation Network,tr4nt0r,home-assistant/core,2025-12-21T06:58:50.000000+0000,true,true,true
159528,Add integration type hub to Xbox,tr4nt0r,home-assistant/core,2025-12-21T06:59:04.000000+0000,true,true,true
159527,shelly: add gen3/gen4/pro dimmers to list of models supporting transitions,gertvdijk,home-assistant/core,,false,false,false
159524,Bump aioesphomeapi to 43.4.0,bdraco,home-assistant/core,2025-12-21T20:25:23.000000+0000,true,true,true
159521,Mark entities as unavailable in Onkyo,arturpragacz,home-assistant/core,2025-12-23T07:39:34.000000+0000,true,true,true
159516,Bump go2rtc-client to 0.4.0,edenhaus,home-assistant/core,2025-12-22T11:25:47.000000+0000,true,true,true
159520,Make velux rain sensor unavailable if update fails,wollew,home-assistant/core,2025-12-22T13:06:54.000000+0000,true,true,true
159502,Velux action setup,wollew,home-assistant/core,2025-12-20T18:49:16.000000+0000,true,false,false
159497,add gateway disconnect on unload of velux integration,wollew,home-assistant/core,2025-12-20T17:16:59.000000+0000,true,true,true
159496,Improve upnp sensor icons,scop,home-assistant/core,2025-12-23T13:12:49.000000+0000,true,true,true
159494,Support KNX scene entity configuration from UI,farmio,home-assistant/core,2025-12-23T17:56:02.000000+0000,true,true,true
159493,Enable HomeWizard Battery group mode by default when device controls batteries,DCSBL,home-assistant/core,2025-12-23T17:54:28.000000+0000,true,true,true
159491,Improve date handling in UniFi Protect media source,RaHehl,home-assistant/core,2025-12-23T19:21:21.000000+0000,true,true,true
159489,Add integration_type service to metoffice,joostlek,home-assistant/core,2025-12-20T14:14:18.000000+0000,true,true,true
159488,Add integration_type service to meteoclimatic,joostlek,home-assistant/core,2025-12-20T14:16:32.000000+0000,true,true,true
159486,Fix knx translation typos,farmio,home-assistant/core,2025-12-20T08:53:45.000000+0000,true,true,true
159485,Actron air log when unavailable & Update Quality Scale,kclif9,home-assistant/core,,false,true,false
159479,Pooldose: Add parallel updates (Silver Qly Scale),lmaertin,home-assistant/core,2025-12-20T17:23:25.000000+0000,true,true,true
159476,Bump yalexs-ble to 3.2.4,bdraco,home-assistant/core,2025-12-20T00:05:07.000000+0000,true,true,true
159474,Fix siren entity triggers,emontnemery,home-assistant/core,2025-12-19T21:45:32.000000+0000,true,true,true
159473,Add light brightness triggers,emontnemery,home-assistant/core,2025-12-22T15:54:53.000000+0000,true,true,true
